title,actor,link,rate
小鞋子,导演: 马基德·马基迪 Majid Majidi   主演: Amir Farrokh Hashemian / 默罕...,https://movie.douban.com/subject/1303021/,9.1
饮食男女,导演: 李安 Ang Lee   主演: 吴倩莲 Chien-lien Wu / 杨贵媚 Kuei-Mei Yang /...,https://movie.douban.com/subject/1291818/,9.0
低俗小说,导演: 昆汀·塔伦蒂诺 Quentin Tarantino   主演: 约翰·特拉沃尔塔 John Tra...,https://movie.douban.com/subject/1291832/,8.7
控方证人,导演: 比利·怀尔德 Billy Wilder   主演: 查尔斯·劳顿 Charles Laughton / ...,https://movie.douban.com/subject/1296141/,9.6
入殓师,导演: 泷田洋二郎 Yôjirô Takita   主演: 本木雅弘 Masahiro Motoki / ...,https://movie.douban.com/subject/2149806/,8.8
沉默的羔羊,导演: Jonathan Demme   主演: Jodie Foster / Anthony Hopkins / Scott Glenn,https://movie.douban.com/subject/1293544/,8.7
蝴蝶效应,导演: 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber   主...,https://movie.douban.com/subject/1292343/,8.7
本杰明·巴顿奇事,导演: 大卫·芬奇 David Fincher   主演: 凯特·布兰切特 Cate Blanchett / ...,https://movie.douban.com/subject/1485260/,8.7
黑客帝国,导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski   主...,https://movie.douban.com/subject/1291843/,8.8
拯救大兵瑞恩,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 汤姆·汉克斯 Tom Hanks...,https://movie.douban.com/subject/1292849/,8.8
玛丽和马克思,导演: Adam Elliot   主演: 托妮·科莱特 Toni Collette / 菲利普·塞默·霍...,https://movie.douban.com/subject/3072124/,8.9
西西里的美丽传说,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 莫妮卡·贝鲁奇 Monica ...,https://movie.douban.com/subject/1292402/,8.7
素媛,导演: 李濬益 Jun-ik Lee   主演: 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...,https://movie.douban.com/subject/21937452/,9.1
幽灵公主,导演: 宫崎骏   主演: 松田洋治 / 石田百合子 / 田中裕子,https://movie.douban.com/subject/1297359/,8.8
心灵捕手,导演: 格斯·范·桑特 Gus Van Sant   主演: 马特·达蒙 Matt Damon / 罗宾·...,https://movie.douban.com/subject/1292656/,8.7
第六感,导演: M·奈特·沙马兰 M. Night Shyamalan   主演: 布鲁斯·威利斯 Bruce Wi...,https://movie.douban.com/subject/1297630/,8.8
阳光灿烂的日子,导演: 姜文 Wen Jiang   主演: 夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao,https://movie.douban.com/subject/1291875/,8.7
让子弹飞,导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...,https://movie.douban.com/subject/3742360/,8.7
大鱼,导演: Tim Burton   主演: Ewan McGregor / Albert Finney / Billy Crudup,https://movie.douban.com/subject/1291545/,8.7
射雕英雄传之东成西就,导演: 刘镇伟 Jeffrey Lau   主演: 梁朝伟 Tony Leung Chiu Wai / 林青霞 Bri...,https://movie.douban.com/subject/1316510/,8.7
春光乍泄,导演: 王家卫   主演: 张国荣 / 梁朝伟 / 张震,https://movie.douban.com/subject/1292679/,8.7
大闹天宫,导演: 万籁鸣 Laiming Wan / 唐澄 Cheng  Tang   主演: 邱岳峰 Yuefeng Qiu /...,https://movie.douban.com/subject/1418019/,9.2
阳光姐妹淘,导演: 姜炯哲 Hyeong-Cheol Kang   主演: 沈恩京 Eun-kyung Shim / 闵孝琳 Hy...,https://movie.douban.com/subject/4917726/,8.8
重庆森林,导演: 王家卫 Kar Wai Wong   主演: 林青霞 Brigitte Lin / 金城武 Takeshi K...,https://movie.douban.com/subject/1291999/,8.6
上帝之城,导演: Kátia Lund / Fernando Meirelles   主演: Alexandre Rodrigues / Lea...,https://movie.douban.com/subject/1292208/,8.9
禁闭岛,导演: Martin Scorsese   主演: 莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...,https://movie.douban.com/subject/2334904/,8.6
甜蜜蜜,导演: 陈可辛 Peter Chan   主演: 黎明 Leon Lai / 张曼玉 Maggie Cheung / ...,https://movie.douban.com/subject/1305164/,8.7
致命ID,导演: James Mangold   主演: John Cusack / Ray Liotta / Amanda Peet,https://movie.douban.com/subject/1297192/,8.6
告白,导演: 中岛哲也 Tetsuya Nakashima   主演: 松隆子 Takako Matsu / 冈田将生 ...,https://movie.douban.com/subject/4268598/,8.6
一一,导演: 杨德昌   主演: 吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elaine Jin,https://movie.douban.com/subject/1292434/,8.9
加勒比海盗,导演: 戈尔·维宾斯基 Gore Verbinski   主演: 约翰尼·德普 Johnny Depp / ...,https://movie.douban.com/subject/1298070/,8.6
爱在黎明破晓前,导演: 理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke ...,https://movie.douban.com/subject/1296339/,8.7
萤火虫之墓,导演: 高畑勋 Isao Takahata   主演: 辰己努 / 白石绫乃 / 志乃原良子,https://movie.douban.com/subject/1293318/,8.7
